Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,cleaned_reviewText,sentiment_scores,compound_score,processed_reviewText,compound,pos,neg,neu
0,,4.0,No issues.,2014-07-23,138,0,0,0,issues,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,no issues,-0.296,0.0,0.688,0.312
1,0mie,5.0,"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",2013-10-25,409,0,0,0,purchased device worked advertised never much phone memory since download lot stuff brainer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,purchased device worked advertised never much since download lot stuff no brainer,-0.296,0.0,0.167,0.833
2,1K3,4.0,it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,2012-12-23,715,0,0,0,works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",0.4019,works expected sprung higher capacity think made bit cheesier earlier versions paint looks not clean,-0.3089,0.0,0.139,0.861
3,1m2,5.0,"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",2013-11-21,382,0,0,0,think worked greathad diff bran gb card went south monthsthis one held pretty well since note update ive months zero issues since transferred note note card reliable solidcheers,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.6486}",0.6486,think worked greathad diff bran went south monthsthis held pretty well since note update ive months zero issues since transferred note note reliable solidcheers,0.6486,0.194,0.0,0.806
4,2&amp;1/2Men,5.0,"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",2013-07-13,513,0,0,0,bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one sv lg optimus cards working order probably best price youll get nice sd card,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.8591}",0.8591,bought retail packaging arrived legit orange envelope english version not asian like picture shows arrived quickly bought retail packaging htc sv lg optimus working order probably best price youll get nice,0.7087,0.189,0.057,0.755
5,2Cents!,5.0,It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,2013-04-29,588,0,0,0,mini storage doesnt anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,mini storage doesnt anything else not supposed purchased add additional storage microsoft surface pro tablet come supposed long standing reputation speaks,0.0,0.0,0.0,1.0
6,2K1Toaster,5.0,I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,2013-10-19,415,0,0,0,phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good qa,"{'neg': 0.099, 'neu': 0.589, 'pos': 0.312, 'compound': 0.8971}",0.8971,never skips beat file transfers speedy not corruption issues fade issues would expect brand great entrust precious files slightly cheaper piece crap lose everything forgive not spending extra couple bucks trusted product goes good qa,0.8971,0.325,0.103,0.572
7,"35-year Technology Consumer ""8-tracks to 802.11""",5.0,It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,2014-10-07,62,0,0,0,hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation agoi picked portable music didnt want schlep risk phone ipod works great sd card readersselect confidence,"{'neg': 0.066, 'neu': 0.703, 'pos': 0.231, 'compound': 0.8221}",0.8221,hard believe affordable digital become device quarter sie postage stamp would science fiction less generation agoi picked portable music didnt want schlep risk ipod works great readersselect confidence,0.8221,0.264,0.075,0.66
8,4evryoung,5.0,"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",2014-03-24,259,1,0,1,works htc rezound running short space gb sandisk ordered came fast issues,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,works htc rezound running short space ordered came fast no issues,-0.296,0.0,0.18,0.82
9,53rdcard,5.0,"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",2013-11-10,393,0,0,0,galaxy super fast card totally happy happy still type fill required words though,"{'neg': 0.0, 'neu': 0.457, 'pos': 0.543, 'compound': 0.9165}",0.9165,super fast totally happy not happy still type fill required words though,0.684,0.392,0.162,0.447
